class,name,price,etl_date,id,model,brand,memory,corefrequency,cudacores,memory_value,memory_unit,corefrequency_value,corefrequency_unit,ddr
顯示卡 VGA,技嘉 RTX4070 AERO OC 12G(2565MHz/30cm/16Pin電源/三風扇/白色/註五年/),23390,2024-03-03,RTX4070,RTX4070,技嘉,12G,2565MHz,CUDA:0,12.0,G,2565.0,MHz,
顯示卡 VGA,技嘉 AORUS RTX4070 MASTER 12G(2670MHz/34cm/16Pin/RGB三風扇/註五年),24490,2024-03-03,RTX4070,RTX4070,技嘉,12G,2670MHz,CUDA:0,12.0,G,2670.0,MHz,
顯示卡 VGA,微星 RTX4070 VENTUS 2X E 12G OC(2520MHz/24cm/8Pin電源/雙風扇/註五年),18990,2024-03-03,RTX4070,RTX4070,微星,12G,2520MHz,CUDA:0,12.0,G,2520.0,MHz,
顯示卡 VGA,微星 RTX4070 VENTUS 2X WHITE 12G OC(2520MHz/24cm/8Pin/雙風扇/註五年),19990,2024-03-03,RTX4070,RTX4070,微星,12G,2520MHz,CUDA:0,12.0,G,2520.0,MHz,
顯示卡 VGA,微星 RTX4070 VENTUS 3X E 12G(2490MHz/31cm/三風扇/8Pin電源/註五年),18990,2024-03-03,RTX4070,RTX4070,微星,12G,2490MHz,CUDA:0,12.0,G,2490.0,MHz,
顯示卡 VGA,微星 RTX4070 VENTUS 3X E 12G OC(2520MHz/31cm/三風扇/8Pin電源/註五年),20390,2024-03-03,RTX4070,RTX4070,微星,12G,2520MHz,CUDA:0,12.0,G,2520.0,MHz,
顯示卡 VGA,微星 RTX4070 GAMING X SLIM 12G(2625MHz/31cm/三風扇/16Pin電源/註五年),20890,2024-03-03,RTX4070,RTX4070,微星,12G,2625MHz,CUDA:0,12.0,G,2625.0,MHz,
顯示卡 VGA,微星 RTX4070 GAMING X SLIM WHITE 12G(2625MHz/31cm/三風扇/16Pin/白/註五年),22590,2024-03-03,RTX4070,RTX4070,微星,12G,2625MHz,CUDA:0,12.0,G,2625.0,MHz,
顯示卡 VGA,INNO3D RTX4070 TWIN X2 OC(2505MHz/25cm/超頻雙風扇扇/註四年),18888,2024-03-03,RTX4070,RTX4070,Unknown,0GB,2505MHz,CUDA:0,0.0,GB,2505.0,MHz,
顯示卡 VGA,INNO3D RTX4070 TWIN X2 OC WHITE(2505MHz/25cm/白-超頻雙風扇扇/註四年),19888,2024-03-03,RTX4070,RTX4070,Unknown,0GB,2505MHz,CUDA:0,0.0,GB,2505.0,MHz,
顯示卡 VGA,INNO3D RTX4070 TWIN X2 OC WHITE STEALT(2505MHz/25cm/白/註四年)背插電源線,19888,2024-03-03,RTX4070,RTX4070,Unknown,0GB,2505MHz,CUDA:0,0.0,GB,2505.0,MHz,
顯示卡 VGA,INNO3D RTX4070 ICHILL X3(2535MHz/33.4cm/ARGB三風扇/註冊五年保),20888,2024-03-03,RTX4070,RTX4070,Unknown,0GB,2535MHz,CUDA:0,0.0,GB,2535.0,MHz,
顯示卡 VGA,華碩 DUAL-RTX4070S-12G(2505MHz/27cm/雙風扇/註四年)軸向式風扇,21990,2024-03-03,RTX4070,RTX4070,華碩,12G,2505MHz,CUDA:0,12.0,G,2505.0,MHz,
顯示卡 VGA,華碩 DUAL-RTX4070S-O12G(2550MHz/27cm/雙風扇/註四年)軸向式風扇,22490,2024-03-03,RTX4070,RTX4070,華碩,O12G,2550MHz,CUDA:0,12.0,O,2550.0,MHz,
顯示卡 VGA,華碩 DUAL-RTX4070S-O12G-WHITE(2550MHz/27cm/雙風扇/註四年/白色)軸向式風扇,22990,2024-03-03,RTX4070,RTX4070,華碩,O12G,2550MHz,CUDA:0,12.0,O,2550.0,MHz,
顯示卡 VGA,華碩 PROART-RTX4070S-O12G(2565MHz/30cm/三風扇/註五年)創作者系列,22990,2024-03-03,RTX4070,RTX4070,華碩,O12G,2565MHz,CUDA:0,12.0,O,2565.0,MHz,
顯示卡 VGA,華碩 TUF-RTX4070S-O12G-GAMING(2595MHz/30cm/三風扇/註五年)軸向式風扇,23990,2024-03-03,RTX4070,RTX4070,華碩,O12G,2595MHz,CUDA:0,12.0,O,2595.0,MHz,
顯示卡 VGA,華碩 ROG-STRIX-RTX4070S-O12G-GAMING(2670MHz/34cm/三風扇/註五年)HDMI*2,26990,2024-03-03,RTX4070,RTX4070,華碩,O12G,2670MHz,CUDA:0,12.0,O,2670.0,MHz,
顯示卡 VGA,技嘉 RTX4070 SUPER WINDFORCE OC 12G(2505MHz/26cm/三風扇/註四年),21990,2024-03-03,RTX4070,RTX4070,技嘉,12G,2505MHz,CUDA:0,12.0,G,2505.0,MHz,
顯示卡 VGA,技嘉 RTX4070 SUPER EAGLE OC 12G(2535MHz/26cm/三風扇/註五年)任搭優惠到3/31,22990,2024-03-03,RTX4070,RTX4070,技嘉,12G,2535MHz,CUDA:0,12.0,G,2535.0,MHz,
顯示卡 VGA,技嘉 RTX4070 SUPER EAGLE OC ICE12G 冰魄白(2535MHz/26cm/三風扇/註五年),23590,2024-03-03,RTX4070,RTX4070,技嘉,0GB,2535MHz,CUDA:0,0.0,GB,2535.0,MHz,
顯示卡 VGA,技嘉 RTX4070 SUPER GAMING OC 12G(2565MHz/30cm/三風扇/註五年)任搭優惠到3/31,23990,2024-03-03,RTX4070,RTX4070,技嘉,12G,2565MHz,CUDA:0,12.0,G,2565.0,MHz,
顯示卡 VGA,技嘉 RTX4070 SUPER AERO OC 12G(2565MHz/30cm/三風扇/註五年/白色),24990,2024-03-03,RTX4070,RTX4070,技嘉,12G,2565MHz,CUDA:0,12.0,G,2565.0,MHz,
顯示卡 VGA,技嘉 AORUS RTX4070 SUPER MASTER 12G(2655MHz/34cm/RGB三風扇/註五年),26490,2024-03-03,RTX4070,RTX4070,技嘉,12G,2655MHz,CUDA:0,12.0,G,2655.0,MHz,
顯示卡 VGA,微星 RTX4070 SUPER 12G VENTUS 2X OC(2520MHz/24cm/雙風扇/註五年),21990,2024-03-03,RTX4070,RTX4070,微星,12G,2520MHz,CUDA:0,12.0,G,2520.0,MHz,
顯示卡 VGA,微星 RTX4070 SUPER 12G VENTUS 2X WHITE OC(2520MHz/24cm/雙風扇/註五年/白),22500,2024-03-03,RTX4070,RTX4070,微星,12G,2520MHz,CUDA:0,12.0,G,2520.0,MHz,
顯示卡 VGA,微星 RTX4070 SUPER 12G VENTUS 3X OC(2520MHz/31cm/三風扇/註五年),22990,2024-03-03,RTX4070,RTX4070,微星,12G,2520MHz,CUDA:0,12.0,G,2520.0,MHz,
顯示卡 VGA,微星 RTX4070 SUPER 12G GAMING X SLIM(2655MHz/31cm/三風扇/註五年),23500,2024-03-03,RTX4070,RTX4070,微星,12G,2655MHz,CUDA:0,12.0,G,2655.0,MHz,
顯示卡 VGA,微星 RTX4070 SUPER 12G GAMING X SLIM MLG[魔龍姬](2655MHz/31cm/三風扇),23990,2024-03-03,RTX4070,RTX4070,微星,12G,2655MHz,CUDA:0,12.0,G,2655.0,MHz,
顯示卡 VGA,微星 RTX4070 SUPER 12G GAMING X SLIM WHITE(2655MHz/31cm/三風扇/註五年/白),23990,2024-03-03,RTX4070,RTX4070,微星,12G,2655MHz,CUDA:0,12.0,G,2655.0,MHz,
顯示卡 VGA,ZOTAC RTX4070 SUPER Twin Edge(2475MHz/23.5cm/註五年/雙風扇)*無痛升級OC版,21990,2024-03-03,RTX4070,RTX4070,ZOTAC,0GB,2475MHz,CUDA:0,0.0,GB,2475.0,MHz,
顯示卡 VGA,ZOTAC RTX4070 SUPER Twin Edge OC(2490MHz/23.5cm/註五年/雙風扇) ㊣㊣㊣㊣,21990,2024-03-03,RTX4070,RTX4070,ZOTAC,0GB,2490MHz,CUDA:0,0.0,GB,2490.0,MHz,
顯示卡 VGA,INNO3D RTX4070 SUPER 12GB GDDR6X TWIN X2(2475MHz/25cm/註四年/雙風扇),21888,2024-03-03,RTX4070,RTX4070,Unknown,12GB,2475MHz,CUDA:0,12.0,GB,2475.0,MHz,6
顯示卡 VGA,INNO3D RTX4070 SUPER 12GB GDDR6X X3 OC(2505MHz/30cm/註四年/超頻三風扇),22888,2024-03-03,RTX4070,RTX4070,Unknown,12GB,2505MHz,CUDA:0,12.0,GB,2505.0,MHz,6
顯示卡 VGA,華碩 TUF-RTX4070TI-O12G-GAMING(2760MHz/31cm/註五年/三風扇) HDMI*2(3/31止),24990,2024-03-03,RTX4070,RTX4070,華碩,O12G,2760MHz,CUDA:0,12.0,O,2760.0,MHz,
顯示卡 VGA,華碩 ROG-STRIX-RTX4070TI-12G-GAMING(2640MHz/34cm/註冊五年)HDMI*2,33490,2024-03-03,RTX4070,RTX4070,華碩,12G,2640MHz,CUDA:0,12.0,G,2640.0,MHz,
顯示卡 VGA,華碩 ROG-STRIX-RTX4070TI-O12G-GAMING(2790MHz/34cm/註冊五年)HDMI*2,33990,2024-03-03,RTX4070,RTX4070,華碩,O12G,2790MHz,CUDA:0,12.0,O,2790.0,MHz,
顯示卡 VGA,技嘉 RTX4070Ti WINDFORCE OC 12G(2625MHz/26cm/三風扇)火力全輸出!!優惠2/28止,23888,2024-03-03,RTX4070,RTX4070,技嘉,12G,2625MHz,CUDA:0,12.0,G,2625.0,MHz,
顯示卡 VGA,技嘉 RTX4070Ti EAGLE 12G(2610MHz/30.1cm/註四年/三風扇),24890,2024-03-03,RTX4070,RTX4070,技嘉,12G,2610MHz,CUDA:0,12.0,G,2610.0,MHz,
顯示卡 VGA,技嘉 RTX4070Ti EAGLE OC 12G(rev2.0)(2625MHz/26cm/註五年/三風扇)*短卡設計,24990,2024-03-03,RTX4070,RTX4070,技嘉,12G,2625MHz,CUDA:0,12.0,G,2625.0,MHz,
顯示卡 VGA,技嘉 RTX4070Ti GAMING OC 12G(2640MHz/34cm/RGB三風扇/註冊五年)*限時促銷,25800,2024-03-03,RTX4070,RTX4070,技嘉,12G,2640MHz,CUDA:0,12.0,G,2640.0,MHz,
顯示卡 VGA,技嘉 RTX4070Ti AERO OC 12G(2640MHz/34cm/三風扇/註冊五年),26990,2024-03-03,RTX4070,RTX4070,技嘉,12G,2640MHz,CUDA:0,12.0,G,2640.0,MHz,
顯示卡 VGA,技嘉 AORUS RTX4070Ti ELITE 12G(2655MHz/34cm/註冊五年/RGB三風扇),25900,2024-03-03,RTX4070,RTX4070,技嘉,12G,2655MHz,CUDA:0,12.0,G,2655.0,MHz,
顯示卡 VGA,技嘉 AORUS RTX4070Ti MASTER 12G(2670MHz/34cm/註冊五年/RGB三風扇),33990,2024-03-03,RTX4070,RTX4070,技嘉,12G,2670MHz,CUDA:0,12.0,G,2670.0,MHz,
顯示卡 VGA,微星 RTX4070TI VENTUS 3X E1 12G OC(2655MHz/31cm/註冊五年/三風扇),23990,2024-03-03,RTX4070,RTX4070,微星,12G,2655MHz,CUDA:0,12.0,G,2655.0,MHz,
顯示卡 VGA,微星 RTX4070TI GAMING X SLIM 12G(2745MHz/30.7cm/註冊五年/三風扇),28990,2024-03-03,RTX4070,RTX4070,微星,12G,2745MHz,CUDA:0,12.0,G,2745.0,MHz,
顯示卡 VGA,微星 RTX4070TI GAMING X SLIM WHITE 12G(2745MHz/30.7cm/三風扇/註五年)-白色,28990,2024-03-03,RTX4070,RTX4070,微星,12G,2745MHz,CUDA:0,12.0,G,2745.0,MHz,
顯示卡 VGA,微星 RTX4070TI GAMING X TRIO 12G(2760MHz/34cm/註冊五年/三風扇),25990,2024-03-03,RTX4070,RTX4070,微星,12G,2760MHz,CUDA:0,12.0,G,2760.0,MHz,
顯示卡 VGA,微星 RTX4070TI SUPRIM 12G(2760MHz/34cm/註冊五年/三風扇),28790,2024-03-03,RTX4070,RTX4070,微星,12G,2760MHz,CUDA:0,12.0,G,2760.0,MHz,
顯示卡 VGA,微星 RTX4070TI SUPRIM X 12G(2790MHz/34cm/註冊五年/三風扇),28990,2024-03-03,RTX4070,RTX4070,微星,12G,2790MHz,CUDA:0,12.0,G,2790.0,MHz,
顯示卡 VGA,ZOTAC RTX4070Ti Trinity OC(2625MHz/31cm/註冊五年)首批OC當沒OC賣,22988,2024-03-03,RTX4070,RTX4070,ZOTAC,0GB,2625MHz,CUDA:0,0.0,GB,2625.0,MHz,
顯示卡 VGA,ZOTAC RTX4070Ti Trinity OC White Edition(2625MHz/31cm/註冊五年/白色),23990,2024-03-03,RTX4070,RTX4070,ZOTAC,0GB,2625MHz,CUDA:0,0.0,GB,2625.0,MHz,
顯示卡 VGA,ZOTAC RTX4070Ti AMP AIRO SPIDER-MAN【蜘蛛人：穿越新宇宙】聯名顯示卡-咻咻,29990,2024-03-03,RTX4070,RTX4070,ZOTAC,0GB,0MHz,CUDA:0,0.0,GB,0.0,MHz,
顯示卡 VGA,ZOTAC RTX4070Ti AMP AIRO(2670MHz/31cm/註冊五年/三風扇),31890,2024-03-03,RTX4070,RTX4070,ZOTAC,0GB,2670MHz,CUDA:0,0.0,GB,2670.0,MHz,
顯示卡 VGA,ZOTAC RTX4070Ti AMP Extreme AIRO(2700MHz/36cm/註五年/三風扇)[新年慶!],23990,2024-03-03,RTX4070,RTX4070,ZOTAC,0GB,2700MHz,CUDA:0,0.0,GB,2700.0,MHz,
顯示卡 VGA,INNO3D RTX4070TI 12GB iChill X3(2670MHz/33.4cm/註冊五年/ARGB三風扇),24888,2024-03-03,RTX4070,RTX4070,Unknown,12GB,2670MHz,CUDA:0,12.0,GB,2670.0,MHz,
顯示卡 VGA,華碩 TUF-RTX4070TIS-16G-GAMING(2640MHz/31cm/三風扇/註五年) HDMI*2,29490,2024-03-03,RTX4070,RTX4070,華碩,16G,2640MHz,CUDA:0,16.0,G,2640.0,MHz,
顯示卡 VGA,華碩 PROART-RTX4070TIS-O16G(2670MHz/30cm/三風扇/註五年) 創作者系列,30490,2024-03-03,RTX4070,RTX4070,華碩,O16G,2670MHz,CUDA:0,16.0,O,2670.0,MHz,
顯示卡 VGA,華碩 TUF-RTX4070TIS-O16G-GAMING(2670MHz/31cm/三風扇/註五年) HDMI*2,31490,2024-03-03,RTX4070,RTX4070,華碩,O16G,2670MHz,CUDA:0,16.0,O,2670.0,MHz,
顯示卡 VGA,華碩 TUF-RTX4070TIS-O16G-WHITE-GAMING(2670MHz/31cm/三風/註五年) HDMI*2,32490,2024-03-03,RTX4070,RTX4070,華碩,O16G,2670MHz,CUDA:0,16.0,O,2670.0,MHz,
顯示卡 VGA,華碩 ROG-STRIX-RTX4070TIS-O16G-GAMING(2700MHz/34cm/三風扇/註五年)HDMI*2,33990,2024-03-03,RTX4070,RTX4070,華碩,O16G,2700MHz,CUDA:0,16.0,O,2700.0,MHz,
顯示卡 VGA,技嘉 RTX4070Ti SUPER WINDFORCE OC 16G(2625MHz/26cm/三風扇/註四年),29490,2024-03-03,RTX4070,RTX4070,技嘉,16G,2625MHz,CUDA:0,16.0,G,2625.0,MHz,
顯示卡 VGA,技嘉 RTX4070Ti SUPER EAGLE OC 16G(2640MHz/26cm/三風扇/註五年),30490,2024-03-03,RTX4070,RTX4070,技嘉,16G,2640MHz,CUDA:0,16.0,G,2640.0,MHz,
顯示卡 VGA,技嘉 RTX4070Ti SUPER EAGLE OC ICE 16G 冰魄白(2640MHz/26cm/三風扇/註五年),31090,2024-03-03,RTX4070,RTX4070,技嘉,16G,2640MHz,CUDA:0,16.0,G,2640.0,MHz,
顯示卡 VGA,技嘉 RTX4070Ti SUPER GAMING OC 16G(2655MHz/30cm/三風扇/註五年)任搭優惠到3/31,31490,2024-03-03,RTX4070,RTX4070,技嘉,16G,2655MHz,CUDA:0,16.0,G,2655.0,MHz,
顯示卡 VGA,技嘉 RTX4070Ti SUPER AERO OC 16G(2655MHz/30cm/三風扇/註五年),32490,2024-03-03,RTX4070,RTX4070,技嘉,16G,2655MHz,CUDA:0,16.0,G,2655.0,MHz,
顯示卡 VGA,技嘉 AORUS RTX4070Ti SUPER MASTER 16G(2670MHz/34cm/ARGB三風扇/註五年),33990,2024-03-03,RTX4070,RTX4070,技嘉,16G,2670MHz,CUDA:0,16.0,G,2670.0,MHz,
顯示卡 VGA,微星 RTX4070Ti SUPER 16G VENTUS 3X OC(2655MHz/31cm/三風扇/註五年),29490,2024-03-03,RTX4070,RTX4070,微星,16G,2655MHz,CUDA:0,16.0,G,2655.0,MHz,
顯示卡 VGA,微星 RTX4070Ti SUPER 16G GAMING X SLIM(2685MHz/31cm/三風扇/註五年),30490,2024-03-03,RTX4070,RTX4070,微星,16G,2685MHz,CUDA:0,16.0,G,2685.0,MHz,
顯示卡 VGA,微星 RTX4070Ti SUPER 16G GAMING X SLIM WHITE(2685MHz/31cm/三風扇/註五年),30990,2024-03-03,RTX4070,RTX4070,微星,16G,2685MHz,CUDA:0,16.0,G,2685.0,MHz,
顯示卡 VGA,微星 RTX4070Ti SUPER 16G EXPERT(2685MHz/31cm/註五年)推拉式氣流.鋁製散熱片,31990,2024-03-03,RTX4070,RTX4070,微星,16G,2685MHz,CUDA:0,16.0,G,2685.0,MHz,
顯示卡 VGA,ZOTAC RTX4070Ti SUPER Trinity Black Edition(2610MHz/31cm/註五年/三風扇)㊣㊣㊣,29490,2024-03-03,RTX4070,RTX4070,ZOTAC,0GB,2610MHz,CUDA:0,0.0,GB,2610.0,MHz,
顯示卡 VGA,ZOTAC RTX4070Ti SUPER Trinity OC White Edition(2610MHz/31cm/註五年/三風扇),30490,2024-03-03,RTX4070,RTX4070,ZOTAC,0GB,2610MHz,CUDA:0,0.0,GB,2610.0,MHz,
顯示卡 VGA,ZOTAC RTX4070Ti SUPER AMP Holo(2640MHz/36cm/註五年/三風扇) ㊣㊣㊣,30990,2024-03-03,RTX4070,RTX4070,ZOTAC,0GB,2640MHz,CUDA:0,0.0,GB,2640.0,MHz,
顯示卡 VGA,INNO3D RTX4070Ti SUPER 16GB GDDR6X TWIN X2(2610MHz/25cm/註四年/雙風扇),29488,2024-03-03,RTX4070,RTX4070,Unknown,16GB,2610MHz,CUDA:0,16.0,GB,2610.0,MHz,6
顯示卡 VGA,INNO3D RTX4070Ti SUPER 16GB GDDR6X X3 OC(2640MHz/30cm/註四年/三風扇),30888,2024-03-03,RTX4070,RTX4070,Unknown,16GB,2640MHz,CUDA:0,16.0,GB,2640.0,MHz,6
顯示卡 VGA,INNO3D RTX4070Ti SUPER 16GB GDDR6X iChill X3(2670MHz/34cm/ARGB三風扇),31888,2024-03-03,RTX4070,RTX4070,Unknown,16GB,2670MHz,CUDA:0,16.0,GB,2670.0,MHz,6
顯示卡 VGA,ZOTAC RTX4080 16GB AMP Extreme AIRO(2565MHz/35.55cm) 最高階出手！,34990,2024-03-03,RTX4080,RTX4080,ZOTAC,16GB,2565MHz,CUDA:0,16.0,GB,2565.0,MHz,
顯示卡 VGA,華碩 TUF-RTX4080S-O16G-GAMING(2640MHz/35cm/三風扇/註五年) HDMI*2,39490,2024-03-03,RTX4080,RTX4080,華碩,O16G,2640MHz,CUDA:0,16.0,O,2640.0,MHz,
顯示卡 VGA,技嘉 RTX4080 SUPER WINDFORCE 16G(2550MHz/33cm/三風扇/註四年),36490,2024-03-03,RTX4080,RTX4080,技嘉,16G,2550MHz,CUDA:0,16.0,G,2550.0,MHz,
顯示卡 VGA,技嘉 RTX4080 SUPER GAMING OC 16G(2595MHz/34cm/三風扇/註五年),38590,2024-03-03,RTX4080,RTX4080,技嘉,16G,2595MHz,CUDA:0,16.0,G,2595.0,MHz,
顯示卡 VGA,微星 RTX4080 SUPER 16G VENTUS 3X OC(2595MHz/32cm/三風扇/註五年)HDMI*2,36490,2024-03-03,RTX4080,RTX4080,微星,16G,2595MHz,CUDA:0,16.0,G,2595.0,MHz,
顯示卡 VGA,微星 RTX4080 SUPER 16G GAMING X SLIM(2625MHz/32cm/三風扇/註五年)HDMI*2,37490,2024-03-03,RTX4080,RTX4080,微星,16G,2625MHz,CUDA:0,16.0,G,2625.0,MHz,
顯示卡 VGA,微星 RTX4080 SUPER 16G GAMING X SLIM WHITE(2625MHz/32cm/三風扇/白)HDMI*2,37990,2024-03-03,RTX4080,RTX4080,微星,16G,2625MHz,CUDA:0,16.0,G,2625.0,MHz,
顯示卡 VGA,微星 RTX4080 SUPER 16G EXPERT(2625MHz/31cm/註五年) 推拉式氣流.鋁製散熱片,38990,2024-03-03,RTX4080,RTX4080,微星,16G,2625MHz,CUDA:0,16.0,G,2625.0,MHz,
顯示卡 VGA,ZOTAC RTX4080 SUPER Trinity Black Edition(2550MHz/31cm/註五年/三風扇)㊣㊣㊣,36490,2024-03-03,RTX4080,RTX4080,ZOTAC,0GB,2550MHz,CUDA:0,0.0,GB,2550.0,MHz,
顯示卡 VGA,ZOTAC RTX4080 SUPER Trinity OC White Edition(2565MHz/31cm/註五年/三風扇),37990,2024-03-03,RTX4080,RTX4080,ZOTAC,0GB,2565MHz,CUDA:0,0.0,GB,2565.0,MHz,
顯示卡 VGA,ZOTAC RTX4080 SUPER AMP Extreme AIRO(2610MHz/36cm/註五年/三風)㊣㊣㊣㊣,38990,2024-03-03,RTX4080,RTX4080,ZOTAC,0GB,2610MHz,CUDA:0,0.0,GB,2610.0,MHz,
顯示卡 VGA,INNO3D RTX4080 SUPER 16GB GDDR6X X3(2550MHz/34cm/註冊四年/三風扇),36488,2024-03-03,RTX4080,RTX4080,Unknown,16GB,2550MHz,CUDA:0,16.0,GB,2550.0,MHz,6
顯示卡 VGA,INNO3D RTX4080 SUPER 16GB GDDR6X iChill X3(2610MHz/33.4cm/ARGB三風扇),37888,2024-03-03,RTX4080,RTX4080,Unknown,16GB,2610MHz,CUDA:0,16.0,GB,2610.0,MHz,6
顯示卡 VGA,華碩 TUF-RTX4090-O24G-GAMING(2595MHz/34.82cm/註五年)軍用級電容,62990,2024-03-03,RTX4090,RTX4090,華碩,O24G,2595MHz,CUDA:0,24.0,O,2595.0,MHz,
顯示卡 VGA,華碩 ROG-STRIX-RTX4090-O24G-GAMING(2640MHz/35.76cm/註五年)軸向式風扇,65990,2024-03-03,RTX4090,RTX4090,華碩,O24G,2640MHz,CUDA:0,24.0,O,2640.0,MHz,
顯示卡 VGA,華碩 ROG-STRIX-RTX4090-O24G-WHITE(2640MHz/35.76cm/註五年)軸向式風扇,68990,2024-03-03,RTX4090,RTX4090,華碩,O24G,2640MHz,CUDA:0,24.0,O,2640.0,MHz,
顯示卡 VGA,技嘉 RTX4090 WINDFORCE V2 24G(2520MHz/33.1cm/註冊四年/三風扇),60990,2024-03-03,RTX4090,RTX4090,技嘉,24G,2520MHz,CUDA:0,24.0,G,2520.0,MHz,
顯示卡 VGA,技嘉 RTX4090 GAMING OC 24G(2535MHz/34cm/三風扇/註五年)任搭優惠到3/31,62990,2024-03-03,RTX4090,RTX4090,技嘉,24G,2535MHz,CUDA:0,24.0,G,2535.0,MHz,
顯示卡 VGA,技嘉 RTX4090 AERO OC 24G(2535MHz/34.2cm/註五年)任搭優惠到3/31,63990,2024-03-03,RTX4090,RTX4090,技嘉,24G,2535MHz,CUDA:0,24.0,G,2535.0,MHz,
顯示卡 VGA,技嘉 AORUS RTX4090 MASTER 24G(2550MHz/35.85cm/RGB三風扇/註冊五年)任搭優惠到3/31,65990,2024-03-03,RTX4090,RTX4090,技嘉,24G,2550MHz,CUDA:0,24.0,G,2550.0,MHz,
顯示卡 VGA,技嘉 AORUS RTX4090 XTREME WATERFORCE 24G(2565MHz/23.8cm/封閉水冷)任搭優惠到3/31,68490,2024-03-03,RTX4090,RTX4090,技嘉,24G,2565MHz,CUDA:0,24.0,G,2565.0,MHz,
顯示卡 VGA,微星 RTX4090 GAMING SLIM 24G(2535MHz/32.2cm/三風扇/註冊五年),59890,2024-03-03,RTX4090,RTX4090,微星,24G,2535MHz,CUDA:0,24.0,G,2535.0,MHz,
顯示卡 VGA,微星 RTX4090 GAMING X SLIM 24G(2610MHz/32.2cm/三風扇/註冊五年),62990,2024-03-03,RTX4090,RTX4090,微星,24G,2610MHz,CUDA:0,24.0,G,2610.0,MHz,
顯示卡 VGA,微星 RTX4090 SUPRIM LIQUID X 24G(2640MHz/28cm)氣冷+水冷雙系統,65990,2024-03-03,RTX4090,RTX4090,微星,24G,2640MHz,CUDA:0,24.0,G,2640.0,MHz,
顯示卡 VGA,麗臺 T400(4G GDDR6 64bit/CUDA:384/15.6cm/12nm製程/註冊三年),5900,2024-03-03,Unknown,Unknown,麗臺,4G,0MHz,CUDA:384,4.0,G,0.0,MHz,6
顯示卡 VGA,麗臺 T1000(4G GDDR6 128bit/CUDA:896/15.6cm/12nm/註冊三年),11900,2024-03-03,Unknown,Unknown,麗臺,4G,0MHz,CUDA:896,4.0,G,0.0,MHz,6
顯示卡 VGA,麗臺 T1000(8G GDDR6 128bit/CUDA:896/15.6cm/12nm/註冊三年),14500,2024-03-03,Unknown,Unknown,麗臺,8G,0MHz,CUDA:896,8.0,G,0.0,MHz,6
顯示卡 VGA,麗臺 NVIDIA RTX 4000 SFF Ada(20GB GDDR6/16.76cm/註三年)【少量.價可議】,58000,2024-03-03,NVIDIA RTX 4000,NVIDIA RTX 4000,麗臺,20GB,0MHz,CUDA:0,20.0,GB,0.0,MHz,6
顯示卡 VGA,麗臺 NVIDIA RTX 6000 Ada(48GB GDDR6/26.67cm/註三年)【少量.價可議】,299000,2024-03-03,NVIDIA RTX 6000,NVIDIA RTX 6000,麗臺,48GB,0MHz,CUDA:0,48.0,GB,0.0,MHz,6
顯示卡 VGA,麗臺 NVIDIA RTX A2000(6G GDDR6 192/CUDA:3328/16.76cm)【價可議】,17800,2024-03-03,Unknown,Unknown,麗臺,6G,0MHz,CUDA:3328,6.0,G,0.0,MHz,6
顯示卡 VGA,麗臺 NVIDIA RTX A2000(12G GDDR6 192/CUDA:3328/16.76cm)【價可議】,26900,2024-03-03,Unknown,Unknown,麗臺,12G,0MHz,CUDA:3328,12.0,G,0.0,MHz,6
顯示卡 VGA,麗臺 NVIDIA RTX A4000(16G GDDR6 256bit/CUDA:6144/24.2cm)【價可議】,43900,2024-03-03,Unknown,Unknown,麗臺,16G,0MHz,CUDA:6144,16.0,G,0.0,MHz,6
顯示卡 VGA,麗臺 NVIDIA RTX A4500(20G GDDR6 256bit/CUDA:7168/26.7cm)【少量.價可議】,67000,2024-03-03,Unknown,Unknown,麗臺,20G,0MHz,CUDA:7168,20.0,G,0.0,MHz,6
顯示卡 VGA,麗臺 NVIDIA RTX A5000(24G GDDR6 384bit/CUDA:8192/26.7cm)【少量.價可議】,93000,2024-03-03,Unknown,Unknown,麗臺,24G,0MHz,CUDA:8192,24.0,G,0.0,MHz,6
顯示卡 VGA,麗臺 NVIDIA RTX A5500(24G GDDR6 384bit/CUDA:10240/26.7cm)【少量.價可議】,143000,2024-03-03,Unknown,Unknown,麗臺,24G,0MHz,CUDA:10240,24.0,G,0.0,MHz,6
顯示卡 VGA,麗臺 NVIDIA RTX A6000(48G GDDR6 384bit/CUDA:10752/26.7cm)【客訂.價可議】,180000,2024-03-03,Unknown,Unknown,麗臺,48G,0MHz,CUDA:10752,48.0,G,0.0,MHz,6
顯示卡 VGA,麗臺 Quadro SYNC II 同步卡(適用Quadro GP100/P6000/P5000/P4000)【客訂,36000,2024-03-03,Unknown,Unknown,麗臺,0GB,0MHz,CUDA:0,0.0,GB,0.0,MHz,
顯示卡 VGA,撼訊 AXR7 240 2GBD5-HLEV2(780MHz/18cm/三年保),2790,2024-03-03,Unknown,Unknown,Unknown,2GB,780MHz,CUDA:0,2.0,GB,780.0,MHz,
顯示卡 VGA,華擎 RX6500XT Phantom Gaming D 4GB OC(2820MHz/24cm/四年保) *尾盤,4790,2024-03-03,RX6500,RX6500,Unknown,4GB,2820MHz,CUDA:0,4.0,GB,2820.0,MHz,
